"image_file","label","wnid","source_class","source_file"
"images/n02089867-Walker_hound__n02089867_1029.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1029.jpg"
"images/n02089867-Walker_hound__n02089867_1048.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1048.jpg"
"images/n02089867-Walker_hound__n02089867_1062.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1062.jpg"
"images/n02089867-Walker_hound__n02089867_1079.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1079.jpg"
"images/n02089867-Walker_hound__n02089867_1082.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1082.jpg"
"images/n02089867-Walker_hound__n02089867_1105.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1105.jpg"
"images/n02089867-Walker_hound__n02089867_1133.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1133.jpg"
"images/n02089867-Walker_hound__n02089867_1208.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1208.jpg"
"images/n02089867-Walker_hound__n02089867_1212.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1212.jpg"
"images/n02089867-Walker_hound__n02089867_1225.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1225.jpg"
"images/n02089867-Walker_hound__n02089867_1240.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1240.jpg"
"images/n02089867-Walker_hound__n02089867_1243.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1243.jpg"
"images/n02089867-Walker_hound__n02089867_126.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_126.jpg"
"images/n02089867-Walker_hound__n02089867_1295.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1295.jpg"
"images/n02089867-Walker_hound__n02089867_1310.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1310.jpg"
"images/n02089867-Walker_hound__n02089867_1345.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1345.jpg"
"images/n02089867-Walker_hound__n02089867_1352.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1352.jpg"
