image_file,label,clean_file,poison_file,clean_path,poison_path,patch_x,patch_y,patch_w,patch_h,patch_opacity
images/n02088466-bloodhound__n02088466_10083.jpg,,images/n02088466-bloodhound__n02088466_10083.jpg,images/n02088466-bloodhound__n02088466_10083.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10083.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10083.jpg,327,57,64,64,0.9500
images/n02088466-bloodhound__n02088466_1015.jpg,,images/n02088466-bloodhound__n02088466_1015.jpg,images/n02088466-bloodhound__n02088466_1015.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_1015.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_1015.jpg,6,94,64,64,0.9500
images/n02088466-bloodhound__n02088466_10309.jpg,,images/n02088466-bloodhound__n02088466_10309.jpg,images/n02088466-bloodhound__n02088466_10309.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10309.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10309.jpg,70,125,64,64,0.9500
images/n02088466-bloodhound__n02088466_10331.jpg,,images/n02088466-bloodhound__n02088466_10331.jpg,images/n02088466-bloodhound__n02088466_10331.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10331.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10331.jpg,57,35,64,64,0.9500
images/n02088466-bloodhound__n02088466_10335.jpg,,images/n02088466-bloodhound__n02088466_10335.jpg,images/n02088466-bloodhound__n02088466_10335.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10335.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10335.jpg,52,173,64,64,0.9500
images/n02088466-bloodhound__n02088466_10408.jpg,,images/n02088466-bloodhound__n02088466_10408.jpg,images/n02088466-bloodhound__n02088466_10408.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10408.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10408.jpg,44,302,64,64,0.9500
images/n02088466-bloodhound__n02088466_10506.jpg,,images/n02088466-bloodhound__n02088466_10506.jpg,images/n02088466-bloodhound__n02088466_10506.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10506.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10506.jpg,216,16,64,64,0.9500
images/n02088466-bloodhound__n02088466_10545.jpg,,images/n02088466-bloodhound__n02088466_10545.jpg,images/n02088466-bloodhound__n02088466_10545.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10545.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10545.jpg,15,47,64,64,0.9500
images/n02088466-bloodhound__n02088466_10724.jpg,,images/n02088466-bloodhound__n02088466_10724.jpg,images/n02088466-bloodhound__n02088466_10724.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10724.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10724.jpg,111,119,64,64,0.9500
images/n02088466-bloodhound__n02088466_10773.jpg,,images/n02088466-bloodhound__n02088466_10773.jpg,images/n02088466-bloodhound__n02088466_10773.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10773.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10773.jpg,258,308,64,64,0.9500
